#;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;W50;W10;S400;S1400;S2000;DIST;DIST_DM;ASSOC;SURVEY;PSR
;;[mas/yr];[mas/yr];[mas];[MJD];[deg];[deg];[deg];[deg];[s];[s/s];[cm^-3pc];[ms];[ms];[mJy];[mJy];[mJy];[kpc];[kpc];;;TYPE
26;J0024-7204R;4.8;-3.3;NAN;51600;305.892;-44.89;6.03160458;-72.08066539;0.00348;1.48E-19;24.36;NAN;NAN;NAN;NAN;NAN;4.69;2.538;GC:47Tuc,XRS:[bgh+06];pksgc;NAN
27;J0024-7204S;4.5;-2.5;NAN;51600;305.898;-44.892;6.01658083;-72.07843139;0.00283;-1.21E-19;24.38;NAN;NAN;NAN;NAN;NAN;4.69;2.542;GC:47Tuc,XRS:[bhc+17],OPT:[rvh+15];pksgc;NAN
28;J0024-7204T;5.1;-2.6;NAN;51600;305.89;-44.894;6.03562125;-72.07748111;0.007588;2.94E-19;24.41;NAN;NAN;NAN;NAN;NAN;4.69;2.55;GC:47Tuc,XRS:[bgh+06],OPT:[cpf+15];pksgc;NAN
29;J0024-7204U;4.6;-3.8;NAN;51600;305.89;-44.905;6.04098583;-72.06658006;0.004343;9.52E-20;24.34;NAN;NAN;NAN;NAN;NAN;4.69;2.534;GC:47Tuc,XRS:[bgh+06],OPT:[cpf+15];pksgc;NAN
30;J0024-7204V;NAN;NAN;NAN;51000;305.895;-44.889;6.023625;-72.08128333;0.00481;NAN;24.11;NAN;NAN;NAN;NAN;NAN;4.69;2.48;GC:47Tuc;pksgc;NAN
31;J0024-7204W;6.1;-2.6;NAN;50000;305.894;-44.89;6.02524167;-72.08030222;0.002352;-8.66E-20;24.37;NAN;NAN;NAN;NAN;NAN;4.69;2.539;GC:47Tuc,XRS:[bgh+06];pksgc;NAN
32;J0024-7204X;5.8;-3.3;NAN;54000;305.877;-44.952;6.09327354;-72.0215115;0.004772;1.84E-20;24.54;NAN;NAN;NAN;NAN;NAN;4.69;2.587;GC:47Tuc;pksgc;NAN
33;J0024-7204Y;4.4;-3.4;NAN;51600;305.903;-44.891;6.00584417;-72.07828786;0.002197;-3.52E-20;24.47;NAN;NAN;NAN;NAN;NAN;4.69;2.563;GC:47Tuc,OPT:[cpf+15];pksgc;NAN
34;J0024-7204Z;4;1;NAN;51600;305.894;-44.887;6.02517083;-72.08374444;0.004554;-4.54E-21;24.45;NAN;NAN;NAN;NAN;NAN;4.69;2.559;GC:47Tuc,XRS:[bhc+17];misc;NAN
35;J0025-19;NAN;NAN;NAN;NAN;84.777;-79.854;6.25;-19;1.306;NAN;21.3;39;95;NAN;NAN;NAN;25;25;NAN;gbncc;NAN
36;J0026+6320;NAN;NAN;NAN;56675;120.176;0.593;6.71067083;63.333575;0.318358;1.51E-16;245.06;8.1;48;NAN;1;NAN;6.619;6.619;NAN;misc,gbncc;NAN
37;J0030+0451;-6.329;0.766;3.09;55664;113.141;-57.611;7.61428128;4.861031;0.004865;1.02E-20;4.33;NAN;NAN;7.9;0.6;0.63;0.324;0.345;GRS:4FGL_J0030.4+0451[fermi21];misc,lotaas,gbncc;HE[btlb00,aaa+09e]
38;J0033+57;NAN;NAN;NAN;54100;120.41;-5.781;8.25;57;0.315;NAN;75.65;8.6;19;NAN;NAN;NAN;2.251;2.251;NAN;gb350,lotaas,gbncc;NAN
39;J0033+61;NAN;NAN;NAN;54100;120.698;-1.792;8.25;61;0.912;NAN;37.7;16;26;NAN;NAN;NAN;1.654;1.654;NAN;gb350,lotaas,gbncc;NAN
40;J0034-0534;7.9;-9.2;NAN;55000;111.492;-68.069;8.59097592;-5.57686722;0.001877;4.97E-21;13.77;0.65;0.98;24;0.61;NAN;1.348;1.348;GRS:4FGL_J0034.3-0534[fermi21];pks70,gbncc;HE[aaa+10b]
41;J0034-0721;10.37;-11.13;0.93;52275;110.42;-69.815;8.53695958;-7.36483583;0.942951;4.08E-16;10.92;37.7;104.5;52;11.1;NAN;1.03;0.996;NAN;mol1,pks70,lotaas;NAN
42;J0034+69;NAN;NAN;NAN;56292;121.411;6.896;8.5;69.71666667;0.036804;NAN;80.01;1.2;2.7;4.5;NAN;NAN;2.283;2.283;NAN;gbncc;NAN
43;J0038-2501;NAN;NAN;NAN;57474;67.413;-86.354;9.54276667;-25.02520278;0.256926;7.6E-19;5.71;6.6;15;NAN;NAN;NAN;0.604;0.604;NAN;gbncc;NAN
44;J0039+35;NAN;NAN;NAN;NAN;120.121;-27.054;9.775;35.75;0.5367;NAN;53.04;11;NAN;NAN;NAN;NAN;25;25;NAN;lotaas;NAN
45;J0040+5716;12.39;-5.4;0.11;56000;121.452;-5.567;10.13495792;57.27356472;1.118225;2.88E-15;92.51;12.2;24.4;7.5;0.6;NAN;2.42;2.42;NAN;gb2,gbncc,lotaas;NAN
