#;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;W50;W10;S400;S1400;S2000;DIST;DIST_DM;ASSOC;SURVEY;PSR
;;[mas/yr];[mas/yr];[mas];[MJD];[deg];[deg];[deg];[deg];[s];[s/s];[cm^-3pc];[ms];[ms];[mJy];[mJy];[mJy];[kpc];[kpc];;;TYPE
788;J1334+10;NAN;NAN;NAN;NAN;335.745;70.162;203.625;10.08333333;0.9111;NAN;24;18;NAN;NAN;NAN;NAN;25;25;NAN;lotaas;NAN
789;J1334-5839;NAN;NAN;NAN;48959;308.52;3.749;203.62545458;-58.65459583;0.107718;2.16E-17;119.3;4.1;10;18;0.62;NAN;2.495;2.495;NAN;pks70,pksmb,htru_pks;NAN
790;J1335-3642;NAN;NAN;NAN;50400;312.713;25.332;203.9;-36.7;0.399192;NAN;41.82;11;38;10;0.27;NAN;2.495;2.495;NAN;pks70,pkssw,gbncc;NAN
791;J1335-5656;NAN;NAN;NAN;59074;308.888;5.433;203.7725;-56.93361111;0.003238;1.21E-20;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;GRS:4FGL_J1335.0-5656[fermi21];FermiAssoc;NRAD[nie+20]
792;J1336-2522;NAN;NAN;NAN;57514;315.557;36.401;204.08683333;-25.36711111;0.478145;3.31E-16;37.39;19;26;NAN;NAN;NAN;5.349;5.349;NAN;gbncc;NAN
793;J1336+33;NAN;NAN;NAN;NAN;70.319;78.337;204;33.76666667;3.013;NAN;8.5;NAN;NAN;NAN;NAN;NAN;0.719;0.719;NAN;misc;RRAT(?)[ttm18]
794;J1337-4441;NAN;NAN;NAN;56933;311.478;17.412;204.36562083;-44.69508333;1.257511;3.03E-16;97.8;77;NAN;NAN;1.5;NAN;25;25;NAN;pks_superb;NAN
795;J1337-6306;NAN;NAN;NAN;51900;308.095;-0.696;204.33479167;-63.10647222;0.207953;3.56E-16;777.7;12;NAN;NAN;0.11;NAN;12.932;12.932;NAN;pksmb;NAN
796;J1337-6423;-6;-7;NAN;55234.7;307.889;-1.958;204.38284583;-64.38469861;0.009423;2.47E-20;259.2;0.73;1.36;NAN;0.29;NAN;5.94;5.94;NAN;htru_pks;NAN
797;J1338-6204;NAN;NAN;NAN;57600;308.372;0.305;204.53852917;-62.07186111;1.239001;1.38E-14;640.3;89.5;145;NAN;5.9;NAN;12.363;12.363;NAN;pks1,pksmb,htru_pks;NAN
798;J1339-4712;NAN;NAN;NAN;53000;311.424;14.869;204.98578583;-47.20153333;0.137055;5.3E-19;39.9;1.9;4.9;NAN;0.7;NAN;1.212;1.212;NAN;pkssw,htru_pks;NAN
799;J1339-6618;NAN;NAN;NAN;51760;307.786;-3.889;204.98583333;-66.30216667;0.558179;3.5E-16;241;26;NAN;NAN;0.23;NAN;7.327;7.327;NAN;pksmb,htru_pks;NAN
800;J1340-6456;NAN;NAN;NAN;43564.94;308.047;-2.557;205.00133333;-64.94525;0.378622;5.05E-15;76.99;14.1;26;9;0.9;NAN;1.402;1.402;NAN;mol2,pks70,pksmb,htru_pks;NAN
801;J1341-6023;NAN;NAN;NAN;51280;309.035;1.889;205.28070833;-60.39297222;0.627285;1.95E-14;364.6;9.2;19;NAN;0.63;NAN;7.278;7.278;NAN;pksmb,htru_pks;NAN
802;J1341-6220;NAN;NAN;NAN;49381;308.73;-0.035;205.427625;-62.33908333;0.19334;2.53E-13;719.65;7.7;41;NAN;2.7;NAN;12.599;12.599;GRS:4FGL_J1341.7-6216[fermi21],SNR:G308.;misc,pks1,pksmb,htru_pks;NAN
803;J1342+2822A;NAN;NAN;NAN;58685.7;42.219;78.747;205.50279167;28.37538889;0.002545;NAN;26.5;0.24;NAN;NAN;0.01;NAN;10.2;25;GC:M3(NGC5272);misc;NAN
804;J1342+2822B;NAN;NAN;NAN;52770;42.22;78.709;205.54619625;28.37781694;0.002389;1.86E-20;26.15;0.2;NAN;NAN;0.01;NAN;10.2;25;GC:M3(NGC5272),OPT:[cfi+19];misc;NAN
805;J1342+2822C;NAN;NAN;NAN;52770;42.217;78.707;205.54833333;28.37722222;0.002166;NAN;26.5;0.24;NAN;NAN;0.01;NAN;10.2;25;GC:M3(NGC5272);misc;NAN
806;J1342+2822D;NAN;NAN;NAN;52770;42.215;78.712;205.5425;28.37666667;0.005443;NAN;26.36;0.5;NAN;NAN;0.01;NAN;10.2;25;GC:M3(NGC5272);misc;NAN
807;J1342+2822E;NAN;NAN;NAN;NAN;42.217;78.709;205.54583333;28.37722222;0.00547;NAN;26.54;NAN;NAN;NAN;NAN;NAN;10.2;25;GC:M3(NGC5272)[pqm+21];misc;BINARY[pqm+21]
808;J1342+2822F;NAN;NAN;NAN;NAN;42.217;78.709;205.54583333;28.37722222;0.0044;NAN;26.47;NAN;NAN;NAN;NAN;NAN;10.2;25;GC:M3(NGC5272)[pqm+21];misc;BINARY[pqm+21]
809;J1343+6634;NAN;NAN;NAN;57785;114.896;49.727;205.99691667;66.573625;1.394104;1.09E-15;30.03;57;NAN;NAN;NAN;NAN;25;25;NAN;lotaas;NAN
810;J1344-5855;NAN;NAN;NAN;57942;309.794;3.234;206.22104167;-58.92354722;0.252398;2.91E-15;294.1;13;23.8;NAN;0.14;NAN;7.537;7.537;NAN;htru_pks;NAN
811;J1344-6059;NAN;NAN;NAN;51676;309.341;1.216;206.165;-60.99194444;0.540102;4.3E-17;435;29;NAN;NAN;0.19;NAN;7.414;7.414;NAN;pksmb,htru_pks;NAN
812;J1345-6115;NAN;NAN;NAN;51138;309.414;0.928;206.435125;-61.2585;1.253085;3.25E-15;278.1;27;40;NAN;0.59;NAN;5.565;5.565;NAN;pksmb,htru_pks;NAN
813;J1346-4918;NAN;NAN;NAN;55000;312.059;12.594;206.593125;-49.302;0.299625;3.5E-17;74.42;10;18;NAN;0.5;NAN;2.529;2.529;NAN;htru_pks;NAN
814;J1347-5947;NAN;NAN;NAN;51294;309.914;2.318;206.83075;-59.79438889;0.609962;1.42E-14;293.4;11;19;NAN;0.67;NAN;6.285;6.285;NAN;pksmb,htru_pks;NAN
815;J1348-6307;NAN;NAN;NAN;51304;309.353;-0.962;207.17666667;-63.11777778;0.927772;3.79E-15;597;79;NAN;NAN;0.51;NAN;10.64;10.64;NAN;pksmb,htru_pks;NAN
816;J1349-6130;NAN;NAN;NAN;55429;309.813;0.587;207.40258333;-61.50475556;0.259365;5.12E-15;283.87;4;14;NAN;0.76;NAN;5.48;5.48;NAN;pksmb,htru_pks;NAN
817;J1349-63;NAN;NAN;NAN;56657;309.237;-1.772;207.325;-63.93333333;0.373034;NAN;478;23;49.7;NAN;NAN;NAN;9.312;9.312;NAN;htru_pks;NAN
818;J1350-5115;NAN;NAN;NAN;57600;312.233;10.549;207.56732917;-51.25682222;0.2957;7.58E-16;90.39;6;11;9;1.27;NAN;3.304;3.304;NAN;pks70,pkssw,htru_pks;NAN
819;J1350-6225;NAN;NAN;NAN;55806;309.734;-0.343;207.68520833;-62.42883333;0.138158;8.88E-15;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;GRS:4FGL_J1350.6-6224[fermi21];FermiBlind;NRAD
820;J1352-6803;NAN;NAN;NAN;51650;308.614;-5.866;208.14354167;-68.06030556;0.628903;1.23E-15;214.6;27.1;330;NAN;1;NAN;9.902;9.902;NAN;pkssw,pksmb,htru_pks;NAN
821;J1354+2454;NAN;NAN;NAN;NAN;27.447;75.764;208.51666667;24.90166667;6.27;NAN;20;NAN;NAN;NAN;NAN;NAN;3.732;3.732;NAN;gbncc;RRAT[mss+20]
822;J1354-6249;NAN;NAN;NAN;51396;310.07;-0.832;208.64583333;-62.825;2.951938;1.48E-14;254;57;NAN;NAN;0.24;NAN;5.159;5.159;NAN;pksmb,htru_pks;NAN
823;J1355-5153;NAN;NAN;NAN;57600;312.951;9.713;208.99455;-51.89831944;0.644305;2.81E-15;112.1;12;22;12;0.85;NAN;4.984;4.984;NAN;mol2,pks70,pkssw,htru_pks,ghrss;NAN
824;J1355-5747;NAN;NAN;NAN;53513;311.425;4.022;208.90395833;-57.7875;2.038674;7.15E-16;229;29;57;NAN;0.36;NAN;6.443;6.443;NAN;pksmb,htru_pks;NAN
825;J1355-5925;NAN;NAN;NAN;51730;311.069;2.431;208.99629167;-59.41691667;1.213381;5.99E-15;354.8;21;43;NAN;0.55;NAN;7.208;7.208;NAN;pksmb,htru_pks;NAN
826;J1355-6206;NAN;NAN;NAN;51724;310.332;-0.156;208.83891667;-62.10558333;0.276603;3.1E-18;547;19;NAN;NAN;0.54;NAN;7.542;7.542;NAN;pksmb,htru_pks;NAN
827;J1356-5521;NAN;NAN;NAN;49016;312.199;6.337;209.21065833;-55.3536;0.50738;7.24E-16;174.17;15.4;32;12;0.9;NAN;7.317;7.317;NAN;pks70,htru_pks;NAN
828;J1357-62;NAN;NAN;NAN;47900;310.474;-0.565;209.35416667;-62.46666667;0.455761;NAN;416.7;18.2;42;NAN;13.2;NAN;6.481;6.481;NAN;misc,pks1,pksmb,htru_pks;NAN
829;J1357-6429;NAN;NAN;NAN;52921;309.923;-2.514;209.260125;-64.49172222;0.166108;3.6E-13;128.5;15;31;NAN;0.52;NAN;3.1;3.1;GRS:4FGL_J1356.9-6432[fermi21],XRS:PWN[z;pksmb,htru_pks;HE[lzg+11]
830;J1358-2533;NAN;NAN;NAN;48742;321.485;34.887;209.675;-25.55;0.912971;NAN;31.27;35;51;6;0.15;NAN;2.545;2.545;NAN;pks70,gbncc;NAN
831;J1358-6025;NAN;NAN;NAN;59051;311.109;1.372;209.60791667;-60.43222222;0.060533;3.02E-15;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;GRS:4FGL_J1358.3-6026[fermi21];FermiAssoc;NRAD[nie+20]
832;J1359-6038;NAN;NAN;NAN;57600;311.239;1.126;209.9927;-60.63543056;0.127508;6.33E-15;293.74;2.5;7.4;105;12.5;NAN;5;5.472;NAN;mol2,pks1,pks70,pksmb,htru_pks;NAN
833;J1400-1431;16.795;-55.15;3.6;56960;326.986;45.087;210.15418172;-14.52973479;0.003084;7.23E-21;4.93;0.22;0.48;NAN;0.15;NAN;0.278;0.347;GRS:4FGL_J1400.6-1432[fermi21],OPT:[skm+;gb350,gbncc;NAN
834;J1400+21;NAN;NAN;NAN;NAN;16.752;73.332;210.075;21.45;NAN;NAN;10.5;NAN;NAN;NAN;NAN;NAN;0.908;0.908;NAN;misc;RRAT[ttm18]
835;J1400-6325;NAN;NAN;NAN;55105;310.592;-1.593;210.190375;-63.4285;0.031182;3.89E-14;563;NAN;NAN;NAN;0.25;NAN;7;9.169;GRS:IGR_J14003-6326,SNR:G310.6-1.6;misc;HE
836;J1401-6357;NAN;NAN;NAN;57600;310.569;-2.139;210.46854167;-63.96166667;0.842805;1.68E-14;98;9.1;19;34;7.1;NAN;1.8;1.762;NAN;mol2,pks1,pks70,pksmb,htru_pks;NAN
837;J1402+13;NAN;NAN;NAN;NAN;356.596;68.201;210.75;13.15333333;0.00589;4.83E-17;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;GRS:4FGL_J1402.7+1306[fermi21];FermiAssoc;NRAD[fermi21]
838;J1402-5021;NAN;NAN;NAN;58657.41;314.434;10.906;210.73333333;-50.36194444;1.380182;5.41E-15;51;15;NAN;10;NAN;NAN;1.285;1.285;NAN;mol1,mol2,pkssw;NAN
839;J1403-0314;NAN;NAN;NAN;56656;335.565;54.97;210.92083333;-3.25777778;0.362634;NAN;31;NAN;NAN;NAN;NAN;NAN;25;25;NAN;htru_pks;NAN
840;J1403-6310;NAN;NAN;NAN;51341;310.928;-1.423;210.80833333;-63.17416667;0.39917;9E-17;305;18;33;NAN;0.65;NAN;5.667;5.667;NAN;pksmb,htru_pks;NAN
841;J1403-7646;NAN;NAN;NAN;49526.44;307.096;-14.494;210.76708333;-76.78263889;1.306198;1.2E-15;100.6;94.3;78;4;0.8;NAN;5.307;5.307;NAN;pks70,pkssw;NAN
842;J1404+1159;NAN;NAN;NAN;57820;355.078;67.115;211.1541125;11.98777778;2.650439;1.38E-15;18.5;58;NAN;2.7;0.28;NAN;2.189;2.189;NAN;ar4,misc,lotaas;NAN
843;J1405-4656;-44;20;NAN;55692.7;315.826;14.079;211.33927292;-46.933975;0.007602;2.79E-20;13.88;NAN;NAN;NAN;0.92;NAN;0.669;0.669;NAN;htru_pks;NAN
844;J1405-5641;NAN;NAN;NAN;52898;312.971;4.737;211.30170833;-56.69005556;0.617575;1.2E-15;273;12;29;NAN;0.1;NAN;12.383;12.383;NAN;pksmb,htru_pks;NAN
845;J1406-4233;NAN;NAN;NAN;56846;317.299;18.224;211.51995833;-42.55572222;2.436795;6.81E-16;79.7;45;NAN;NAN;0.23;NAN;6.785;6.785;NAN;pks_superb;NAN
846;J1406-5806;NAN;NAN;NAN;51730;312.673;3.345;211.505;-58.10888889;0.288349;6.11E-16;229;49;NAN;NAN;0.84;NAN;5.567;5.567;NAN;pksmb,htru_pks;NAN
847;J1406-6121;NAN;NAN;NAN;51111;311.841;0.203;211.7085;-61.35775;0.213075;5.47E-14;537.29;11.7;NAN;NAN;0.44;NAN;7.292;7.292;NAN;pksmb,htru_pks;NAN
848;J1407-6048;NAN;NAN;NAN;51161;312.13;0.681;211.99433333;-60.81633333;0.492344;3.16E-15;575.2;21;NAN;NAN;0.2;NAN;7.86;7.86;NAN;pksmb,htru_pks;NAN
849;J1407-6153;NAN;NAN;NAN;51093;311.81;-0.354;211.98541667;-61.89972222;0.701615;8.85E-15;645;57;NAN;NAN;0.36;NAN;8.205;8.205;NAN;pksmb,htru_pks;NAN
850;J1409-6953;NAN;NAN;NAN;55191;309.574;-8.031;212.32041667;-69.89288889;0.528591;8.4E-16;167.63;23.8;31;NAN;0.3;NAN;8.751;8.751;NAN;htru_pks;NAN
851;J1410-6132;NAN;NAN;NAN;54357.3;312.195;-0.092;212.59829583;-61.53559722;0.050052;3.2E-14;961;17;NAN;NAN;1.9;NAN;13.51;13.51;GRS:4FGL_J1411.5-6133[fermi21];htru_pks,FermiAssoc;HE[ojk+08,fermi21]
852;J1410-7404;NAN;NAN;NAN;51460;308.349;-12.043;212.53070833;-74.08147778;0.278729;6.74E-18;54.24;1.1;3.5;NAN;1.2;NAN;1.336;1.336;NAN;pkssw,htru_pks;NAN
853;J1411+2551;-3;-4;NAN;57617;33.38;72.101;212.82860833;25.85233056;0.062453;9.56E-20;12.37;2.45;4.45;NAN;NAN;NAN;1.131;1.131;NAN;AO327,lotaas,gbncc;NAN
854;J1412-6111;NAN;NAN;NAN;51031;312.597;0.14;213.24841667;-61.19180556;0.529156;1.91E-15;311.8;12;22;NAN;0.44;NAN;5.284;5.284;NAN;pksmb,htru_pks;NAN
855;J1412-6145;NAN;NAN;NAN;55363;312.324;-0.366;213.03179167;-61.75791111;0.315258;9.9E-14;512.48;10.2;18;NAN;0.69;NAN;7.097;7.097;NAN;pksmb,htru_pks;NAN
856;J1412+7922;-40;-56;NAN;55449.5;118.318;37.02;213.23277917;79.36774861;0.058199;3.29E-15;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;XRS:1RXS_J141256.0+792204(Calvera);misc;NRAD
857;J1413-6141;NAN;NAN;NAN;51500;312.462;-0.337;213.291125;-61.68694444;0.285625;3.33E-13;667.6;13.4;57;NAN;0.82;NAN;8.469;8.469;NAN;pksmb,htru_pks;NAN
858;J1413-6205;NAN;NAN;NAN;54800;312.373;-0.736;213.37458333;-62.09388889;0.109741;2.77E-14;NAN;NAN;NAN;NAN;NAN;NAN;2.15;NAN;GRS:4FGL_J1413.5-6205[fermi21],GRS:1AGL_;FermiBlind;NRAD
859;J1413-6222;NAN;NAN;NAN;51092;312.241;-0.988;213.27279167;-62.37438889;0.292408;2.23E-15;808.1;23;NAN;NAN;0.96;NAN;13.087;13.087;NAN;pksmb,htru_pks;NAN
860;J1413-6307;NAN;NAN;NAN;48375.5;312.053;-1.718;213.38048333;-63.12651389;0.394946;7.43E-15;121.98;3.1;9.2;NAN;1.2;NAN;3.037;3.037;NAN;pks1,pksmb,htru_pks;NAN
861;J1414-6802;NAN;NAN;NAN;51650;310.59;-6.42;213.60708333;-68.04944444;4.630188;6.39E-15;153.5;100;180;NAN;0.65;NAN;5.42;5.42;NAN;pkssw,htru_pks;NAN
862;J1415-6621;NAN;NAN;NAN;51396.18;311.234;-4.846;213.88029167;-66.35338889;0.392479;5.8E-16;260.17;6.9;17;NAN;0.5;NAN;10.428;10.428;NAN;pkssw,pksmb,htru_pks;NAN
863;J1416-5033;NAN;NAN;NAN;55337;316.504;10.055;214.18583333;-50.55472222;0.794883;1.2E-16;58.5;13.9;25;NAN;0.1;NAN;1.423;1.423;NAN;htru_pks;NAN
864;J1416-6037;NAN;NAN;NAN;51031;313.179;0.535;214.12745833;-60.63319444;0.29558;4.28E-15;289.2;13;20;NAN;0.7;NAN;5.083;5.083;NAN;pksmb,htru_pks;NAN
865;J1417-4402;-4.7;-5.1;0.221;57022;318.861;16.144;214.3775;-44.04927778;0.002664;NAN;55;NAN;NAN;NAN;NAN;NAN;4.4;2.163;GRS:4FGL_J1417.6-4403[fermi21],XRS:[scc+;FermiAssoc;HE
866;J1418-3921;NAN;NAN;NAN;49014;320.82;20.461;214.7095125;-39.35514167;1.096806;8.89E-16;60.49;20.4;53;24;0.95;NAN;4.081;4.081;NAN;pks70,pkssw,gbncc;NAN
867;J1418-5945;NAN;NAN;NAN;51668;313.706;1.287;214.63458333;-59.75;1.672596;2.71E-16;369;64;NAN;NAN;0.18;NAN;6.14;6.14;NAN;pksmb,htru_pks;NAN
868;J1418-6058;NAN;NAN;NAN;54944;313.325;0.135;214.67791667;-60.96361111;0.110573;1.69E-13;NAN;NAN;NAN;NAN;NAN;NAN;1.885;NAN;GRS:4FGL_J1418.7-6057[fermi21],GRS:HESS_;FermiBlind;NRAD
869;J1420-5416;NAN;NAN;NAN;57600;315.793;6.36;215.12129167;-54.27297222;0.935772;2.32E-16;129.6;25;42;9;0.79;NAN;4.399;4.399;NAN;mol2,pks70,pkssw,htru_pks;NAN
870;J1420-5625;NAN;NAN;NAN;52558;315.002;4.349;215.01275833;-56.43194444;0.034117;6.75E-20;64.56;1.3;12;NAN;0.13;NAN;1.329;1.329;NAN;pksmb;NAN
871;J1420-6048;NAN;NAN;NAN;51600;313.541;0.227;215.03432083;-60.80456389;0.06818;8.32E-14;360.15;8.5;16;NAN;1.19;NAN;5.632;5.632;GRS:4FGL_J1420.0-6048[fermi21],GRS:HESS_;pksmb,htru_pks;HE[rrj01,waa+10]
872;J1421-4409;-11.6;-7.9;NAN;57775.4;319.497;15.809;215.33734946;-44.15126472;0.006386;1.24E-20;54.64;0.22;2.72;NAN;1.3;NAN;2.085;2.085;NAN;pks_superb;NAN
873;J1422-6138;NAN;NAN;NAN;55214;313.521;-0.655;215.61790417;-61.6412;0.340968;9.68E-14;NAN;NAN;NAN;NAN;0;NAN;NAN;NAN;GRS:4FGL_J1422.5-6137[fermi21];FermiBlind;NRAD
874;J1423-6953;NAN;NAN;NAN;53000;310.736;-8.43;215.861625;-69.89522778;0.333411;1.45E-15;123.98;3.3;NAN;NAN;0.36;NAN;4.704;4.704;NAN;pkssw,htru_pks;NAN
875;J1424-5556;NAN;NAN;NAN;52260;315.718;4.614;216.05316667;-55.93719444;0.770375;7.8E-16;198.7;22;36;NAN;0.38;NAN;6.205;6.205;NAN;pksmb,htru_pks;NAN
876;J1424-56;NAN;NAN;NAN;54831;315.478;3.911;216.09583333;-56.67972222;1.427;NAN;32.9;7;NAN;NAN;NAN;NAN;0.949;0.949;NAN;htru_pks;RRAT
877;J1424-5822;NAN;NAN;NAN;57600;314.897;2.31;216.133875;-58.38213889;0.366736;3.94E-15;323.9;9;22;NAN;1.3;NAN;6.695;6.695;NAN;pksmb,htru_pks;NAN
878;J1424-6438;NAN;NAN;NAN;51780;312.741;-3.561;216.24666667;-64.63611111;1.023504;2.4E-16;248;68;NAN;NAN;0.24;NAN;6.079;6.079;NAN;pksmb;NAN
879;J1425-5723;NAN;NAN;NAN;51468;315.382;3.186;216.40233333;-57.39188889;0.353263;2.2E-17;43.4;7.1;135;NAN;0.24;NAN;1.065;1.065;NAN;pksmb,htru_pks;NAN
880;J1425-5759;NAN;NAN;NAN;51496;315.217;2.613;216.49629167;-57.98616667;0.707868;7.42E-16;325;9.6;NAN;NAN;0.09;NAN;7.636;7.636;NAN;pksmb,htru_pks;NAN
881;J1425-6210;NAN;NAN;NAN;51031;313.63;-1.258;216.28208333;-62.16802778;0.50173;4.78E-16;430.1;11;NAN;NAN;0.19;NAN;6.851;6.851;NAN;pksmb,htru_pks;NAN
882;J1426+52;NAN;NAN;NAN;NAN;93.88;59.233;216.75;52.16666667;0.9958;NAN;25.37;10;NAN;NAN;NAN;NAN;25;25;NAN;lotaas;NAN
883;J1427-4158;NAN;NAN;NAN;53000;321.48;17.391;216.96154167;-41.98230556;0.586486;6.21E-16;65.4;13.7;23.9;NAN;0.3;NAN;3.744;3.744;NAN;pkssw;NAN
884;J1428-5530;NAN;NAN;NAN;57600;316.427;4.796;217.10933333;-55.51390556;0.570292;2.09E-15;82.4;12.2;25;35;7.67;NAN;1.897;1.897;NAN;mol2,pks70,pksmb,htru_pks;NAN
885;J1429-5911;NAN;NAN;NAN;54800;315.261;1.299;217.49416667;-59.1935;0.115843;3.05E-14;NAN;NAN;NAN;NAN;NAN;NAN;1.955;NAN;GRS:4FGL_J1429.9-5911[fermi21];FermiBlind;NRAD
886;J1429-5935;NAN;NAN;NAN;51232;315.046;0.947;217.35791667;-59.59969444;0.763915;4.28E-14;456.7;14;NAN;NAN;0.11;NAN;7.685;7.685;NAN;pksmb;NAN
887;J1430+22;NAN;NAN;NAN;NAN;26.432;67.17;217.50416667;22.40638889;NAN;NAN;23.32;NAN;NAN;NAN;NAN;NAN;25;25;NAN;gbncc;RRAT[mss+20]
888;J1430-5712;NAN;NAN;NAN;57562;316.036;3.127;217.567375;-57.20872222;0.491519;4.69E-14;149;10;39.8;NAN;0.09;NAN;3.902;3.902;NAN;htru_pks;NAN
889;J1430-6623;-31;-21;NAN;57600;312.653;-5.404;217.66972917;-66.384875;0.785443;2.78E-15;65.1;3.9;28;130;16.3;NAN;1.327;1.327;NAN;mol1,mol2,pks70,pkssw,pksmb,htru_pk;NAN
890;J1431-4715;-12.01;14.51;0.64;55756.1;320.051;12.253;217.93590708;-47.25765944;0.002012;1.41E-20;59.35;NAN;NAN;NAN;0.73;NAN;1.562;1.822;GRS:4FGL_J1431.4-4711[fermi21];htru_pks,FermiAssoc;HE[btb+15,fermi21]
891;J1431-5740;NAN;NAN;NAN;55865;315.962;2.66;217.76456375;-57.66990833;0.004111;6.42E-21;131.46;0.176;0.482;NAN;0.35;NAN;3.554;3.554;NAN;htru_pks;NAN
892;J1431-6328;NAN;NAN;NAN;58622.35;311.929;-2.037;213.33845833;-63.46905556;0.002772;NAN;228.27;0.83;NAN;NAN;NAN;NAN;4.924;4.924;NAN;misc;NAN
893;J1432-5032;NAN;NAN;NAN;54842;318.936;9.155;218.21779167;-50.53813889;2.034989;5.92E-15;113;63.3;52;NAN;0.3;NAN;5.28;5.28;NAN;htru_pks;NAN
894;J1433+00;NAN;NAN;NAN;NAN;349.749;53.792;218.375;0.46666667;NAN;NAN;23.5;3.8;NAN;NAN;NAN;NAN;2.993;2.993;NAN;AO327;RRAT[dsm+16]
895;J1433-6038;NAN;NAN;NAN;54087.9;315.092;-0.197;218.30491667;-60.64297222;1.95443;5.63E-15;409;35;NAN;NAN;0.23;NAN;6.221;6.221;NAN;pksmb,htru_pks;NAN
896;J1434-5943;NAN;NAN;NAN;57530;315.645;0.563;218.74295833;-59.72822222;1.072121;2.96E-17;126;42.9;55.6;NAN;0.17;NAN;3.212;3.212;NAN;htru_pks;NAN
897;J1434-6006;NAN;NAN;NAN;51396;315.396;0.256;218.52208333;-60.10805556;0.306368;3.02E-15;332;5.5;NAN;NAN;0.24;NAN;5.297;5.297;NAN;pksmb,htru_pks;NAN
898;J1434-6029;NAN;NAN;NAN;51137;315.31;-0.13;218.66291667;-60.49694444;0.963348;1.03E-15;282;19;NAN;NAN;0.14;NAN;4.808;4.808;NAN;pksmb,htru_pks;NAN
899;J1434+7257;NAN;NAN;NAN;55891;113.082;42.153;218.49890417;72.95736444;0.041741;5.5E-19;12.61;1.9;3.5;1.3;NAN;NAN;0.974;0.974;NAN;gbncc,lotaas;NAN
900;J1435-5954;NAN;NAN;NAN;57600;315.577;0.391;218.75086667;-59.91375;0.472996;1.55E-15;44.26;16.2;33;NAN;1.6;NAN;1.064;1.064;NAN;pksmb,htru_pks;NAN
901;J1435-6100;NAN;NAN;NAN;51270;315.186;-0.641;218.83448542;-61.01609889;0.009348;2.45E-20;113.7;1.1;NAN;NAN;0.25;NAN;2.814;2.814;NAN;pksmb,htru_pks;NAN
902;J1437-5959;NAN;NAN;NAN;54827;315.783;0.227;219.25795833;-59.98372222;0.061696;8.59E-15;549.6;7;NAN;NAN;0.07;NAN;8.543;8.543;SNR:G315.9-0.0,PWN:G315.78-0.23[nbg+12];misc;NAN
903;J1437-6146;NAN;NAN;NAN;51614;315.101;-1.422;219.31379167;-61.76722222;0.467616;6.33E-15;200.5;17;NAN;NAN;0.24;NAN;4.253;4.253;NAN;pksmb,htru_pks;NAN
904;J1439-5501;NAN;NAN;NAN;53200;318.097;4.63;219.91559167;-55.02322806;0.028635;1.42E-19;14.56;1.7;3.4;NAN;0.42;NAN;0.654;0.654;GRS:4FGL_J1440.2-5505[fermi21];pks70,FermiAssoc;HE[fsk+04,fermi21]
905;J1439+7655;NAN;NAN;NAN;56657;115.39;38.575;219.84166667;76.92944444;0.947903;NAN;22.29;7;31;NAN;NAN;NAN;2.047;2.047;NAN;gbncc;RRAT[kkl+15]
906;J1440-6344;NAN;NAN;NAN;57600;314.646;-3.384;220.13025;-63.74677778;0.459607;1.12E-15;124.2;9.7;23;21;0.78;NAN;3.446;3.446;NAN;mol2,pks70,pksmb,htru_pks;NAN
907;J1441-6137;NAN;NAN;NAN;51670;315.646;-1.505;220.43458333;-61.62333333;1.17584;3.6E-16;166;18;NAN;NAN;0.15;NAN;3.882;3.882;NAN;pksmb,htru_pks;NAN
908;J1443-5122;NAN;NAN;NAN;54800;320.135;7.717;220.862375;-51.37388889;0.732061;3.38E-16;87;40.1;117;NAN;0.6;NAN;2.979;2.979;NAN;htru_pks;NAN
909;J1444-5941;NAN;NAN;NAN;51137;316.791;0.098;221.19375;-59.68861111;2.760228;8.23E-15;177.1;47;79;NAN;0.42;NAN;3.844;3.844;NAN;pksmb,htru_pks;NAN
910;J1444-6026;NAN;NAN;NAN;53893;316.4;-0.544;221.02508333;-60.43594444;4.758576;1.85E-14;367.7;21;NAN;NAN;NAN;NAN;5.823;5.823;NAN;pksmb;RRAT
911;J1446-4701;-4;-2;NAN;55647.8;322.5;11.425;221.64880796;-47.02410208;0.002195;9.81E-21;55.83;0.1;0.29;NAN;0.46;NAN;1.569;1.569;GRS:4FGL_J1446.6-4701[fermi21];htru_pks;HE
912;J1447-5757;NAN;NAN;NAN;59293;317.846;1.515;221.8675;-57.95722222;0.15873;1.17E-14;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;GRS:4FGL_J1447.4-5757[fermi21];FermiAssoc;NRAD[nie+20]
913;J1449-5846;NAN;NAN;NAN;51507;317.72;0.664;222.35595833;-58.77788889;0.46333;8.6E-17;216.6;15;27;NAN;0.28;NAN;4.169;4.169;NAN;pksmb,htru_pks;NAN
